	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated
Raabe	1.0	0.13624127035773514	0.5	1.0	0.5	0.627248254071547
Stifter	0.09839645054170718	0.593080028098774	1.0	0.5	0.5	0.5382952957280962
Fontane	0.19353214460808396	0.3556672479402595	1.0	0.0	1.0	0.5098398785096687
Spielhagen	0.3985449087796195	0.5501937405851285	0.5	0.0	0.5	0.3897477298729496
François	0.2542895068165039	0.1138287570246152	1.0	0.5	0.0	0.37362365276822385
Freytag	0.055466296705674704	0.9999999999999999	0.0	0.0	0.5	0.3110932593411349
Ebner-Eschenbach	0.0	0.025273293712490597	0.5	0.0	1.0	0.30505465874249815
Reventlow	0.076812390256742	0.055859631547813995	0.5	0.5	0.0	0.2265344043609112
Dohm	0.004976698822445051	0.11085706761107139	1.0	0.0	0.0	0.2231667532867033
Auerbach	0.2773314835283735	0.04990611248011828	0.5	0.0	0.0	0.16544751920169837
May	0.29615459068278516	0.0	0.0	0.0	0.5	0.15923091813655704
Marlitt	0.004976698822445051	0.04299072120128564	0.0	0.5	0.0	0.10959348400474614
